standalone | Starting Airflow Standalone
scheduler  | 2026-02-18T13:27:42.240382Z [info     ] Worker starting up pid=28375   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
scheduler  | 2026-02-18T13:27:42.240602Z [info     ] Worker starting up pid=28374   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
scheduler  | 2026-02-18T13:27:42.264934Z [info     ] Worker starting up pid=28376   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
scheduler  | 2026-02-18T13:27:42.269257Z [info     ] Worker starting up pid=28378   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
scheduler  | 2026-02-18T13:27:42.275066Z [info     ] Worker starting up pid=28377   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
scheduler  | 2026-02-18T13:27:42.282081Z [info     ] Worker starting up pid=28379   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
scheduler  | 2026-02-18T13:27:42.287001Z [info     ] Worker starting up pid=28381   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
scheduler  | 2026-02-18T13:27:42.284939Z [info     ] Worker starting up pid=28380   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
scheduler  | 2026-02-18T13:27:42.296772Z [info     ] Worker starting up pid=28382   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
scheduler  | 2026-02-18T13:27:42.304800Z [info     ] Worker starting up pid=28384   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
scheduler  | 2026-02-18T13:27:42.305656Z [info     ] Worker starting up pid=28383   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
scheduler  | 2026-02-18T13:27:42.316268Z [info     ] Worker starting up pid=28385   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
scheduler  | 2026-02-18T13:27:42.321143Z [info     ] Adopting or resetting orphaned tasks for active dag runs [airflow.jobs.scheduler_job_runner.SchedulerJobRunner] loc=scheduler_job_runner.py:2324
scheduler  | 2026-02-18T13:27:42.325809Z [info     ] Worker starting up pid=28387   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
scheduler  | 2026-02-18T13:27:42.328806Z [info     ] Worker starting up pid=28386   [airflow.executors.local_executor.LocalExecutor] loc=local_executor.py:65
dag-processor | /home/nix/smart-retail-analytics/.venv/lib/python3.12/site-packages/airflow/sdk/execution_time/supervisor.py:477 DeprecationWarning: This process (pid=28321) is multi-threaded, use of fork() may lead to deadlocks in the child.
dag-processor | 2026-02-18T13:27:42.628403Z [info     ] checking for stale bundle versions locally [airflow.dag_processing.bundles.base] loc=base.py:223
dag-processor | 2026-02-18T13:27:42.629378Z [info     ] DAG bundles loaded: dags-folder, example_dags [airflow.dag_processing.bundles.manager.DagBundlesManager] loc=manager.py:179
dag-processor | 2026-02-18T13:27:42.643094Z [info     ]
dag-processor | ================================================================================
dag-processor | DAG File Processing Stats
dag-processor | Bundle        File Path                                                     PID  Current Duration      # DAGs    # Errors  Last Duration    Last Run At
dag-processor | ------------  ----------------------------------------------------------  -----  ------------------  --------  ----------  ---------------  -------------
dag-processor | dags-folder   retail_pipeline_dag.py                                                                        0           0
dag-processor | example_dags  example_local_kubernetes_executor.py                                                          0           0
dag-processor | example_dags  standard/example_python_operator.py                                                           0           0
dag-processor | example_dags  standard/example_external_task_parent_deferrable.py                                           0           0
dag-processor | example_dags  example_latest_only_with_trigger.py                                                           0           0
dag-processor | example_dags  example_task_group.py                                                                         0           0
dag-processor | example_dags  example_asset_alias.py                                                                        0           0
dag-processor | example_dags  example_passing_params_via_test_command.py                                                    0           0
dag-processor | example_dags  example_inlet_event_extra.py                                                                  0           0
dag-processor | example_dags  example_trigger_target_dag.py                                                                 0           0
dag-processor | example_dags  tutorial_taskflow_api_virtualenv.py                                                           0           0
dag-processor | example_dags  plugins/listener_plugin.py                                                                    0           0
dag-processor | example_dags  standard/example_branch_datetime_operator.py                                                  0           0
dag-processor | example_dags  example_dag_decorator.py                                                                      0           0
dag-processor | example_dags  standard/example_sensor_decorator.py                                                          0           0
dag-processor | example_dags  example_nested_branch_dag.py                                                                  0           0
dag-processor | example_dags  standard/example_hitl_operator.py                                                             0           0
dag-processor | example_dags  example_params_ui_tutorial.py                                                                 0           0
dag-processor | example_dags  tutorial.py                                                                                   0           0
dag-processor | example_dags  example_dynamic_task_mapping_with_no_taskflow_operators.py                                    0           0
dag-processor | example_dags  example_workday_timetable.py                                                                  0           0
dag-processor | example_dags  example_skip_dag.py                                                                           0           0
dag-processor | example_dags  example_simplest_dag.py                                                                       0           0
dag-processor | example_dags  standard/example_bash_decorator.py                                                            0           0
dag-processor | example_dags  plugins/event_listener.py                                                                     0           0
dag-processor | example_dags  example_setup_teardown_taskflow.py                                                            0           0
dag-processor | example_dags  standard/example_branch_operator_decorator.py                                                 0           0
dag-processor | example_dags  example_dynamic_task_mapping.py                                                               0           0
dag-processor | example_dags  plugins/decreasing_priority_weight_strategy.py                                                0           0
dag-processor | example_dags  example_params_trigger_ui.py                                                                  0           0
dag-processor | example_dags  tutorial_dag.py                                                                               0           0
dag-processor | example_dags  plugins/workday.py                                                                            0           0
dag-processor | example_dags  example_complex.py                                                                            0           0
dag-processor | example_dags  example_time_delta_sensor_async.py                                                            0           0
dag-processor | example_dags  example_branch_python_dop_operator_3.py                                                       0           0
dag-processor | example_dags  standard/example_branch_day_of_week_operator.py                                               0           0
dag-processor | example_dags  example_outlet_event_extra.py                                                                 0           0
dag-processor | example_dags  example_xcomargs.py                                                                           0           0
dag-processor | example_dags  standard/example_external_task_child_deferrable.py                                            0           0
dag-processor | example_dags  standard/example_branch_operator.py                                                           0           0
dag-processor | example_dags  example_xcom.py                                                                               0           0
dag-processor | example_dags  standard/example_short_circuit_operator.py                                                    0           0
dag-processor | example_dags  tutorial_objectstorage.py                                                                     0           0
dag-processor | example_dags  standard/example_sensors.py                                                                   0           0
dag-processor | example_dags  example_custom_weight.py                                                                      0           0
dag-processor | example_dags  example_branch_labels.py                                                                      0           0
dag-processor | example_dags  tutorial_taskflow_api.py                                                                      0           0
dag-processor | example_dags  example_kubernetes_executor.py                                                                0           0
dag-processor | example_dags  standard/example_python_decorator.py                                                          0           0
dag-processor | example_dags  example_task_group_decorator.py                                                               0           0
dag-processor | example_dags  example_asset_with_watchers.py                                                                0           0
dag-processor | example_dags  standard/example_external_task_marker_dag.py                                                  0           0
dag-processor | example_dags  example_assets.py                                                                             0           0
dag-processor | example_dags  standard/example_short_circuit_decorator.py                                                   0           0
dag-processor | example_dags  standard/example_latest_only.py                                                               0           0
dag-processor | example_dags  standard/example_bash_operator.py                                                             0           0
dag-processor | example_dags  tutorial_taskflow_templates.py                                                                0           0
dag-processor | example_dags  example_setup_teardown.py                                                                     0           0
dag-processor | example_dags  example_asset_alias_with_no_taskflow.py                                                       0           0
dag-processor | example_dags  example_display_name.py                                                                       0           0
dag-processor | example_dags  standard/example_trigger_controller_dag.py                  28390  0.04s                      0           0
dag-processor | example_dags  example_asset_decorator.py                                  28389  0.06s                      0           0
dag-processor | ================================================================================ [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:822
dag-processor | 2026-02-18T13:27:42.674037Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:27:42.705787Z [info     ] Setting next_dagrun for example_trigger_controller_dag to 2021-01-01 00:00:00+00:00, run_after=2021-01-01 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:42.750796Z [info     ] Sync 3 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:27:42.770317Z [info     ] Setting next_dagrun for asset1_producer to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:42.772588Z [info     ] Setting next_dagrun for asset2_producer to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:42.775238Z [info     ] Setting next_dagrun for consumes_asset_decorator to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:42.842062Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:27:42.847305Z [info     ] Setting next_dagrun for example_display_name to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:42.887740Z [info     ] Sync 4 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:27:42.902441Z [info     ] Setting next_dagrun for asset_alias_example_alias_consumer_with_no_taskflow to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:42.904461Z [info     ] Setting next_dagrun for asset_alias_example_alias_producer_with_no_taskflow to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:42.907011Z [info     ] Setting next_dagrun for asset_s3_bucket_consumer_with_no_taskflow to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:42.908766Z [info     ] Setting next_dagrun for asset_s3_bucket_producer_with_no_taskflow to None, run_after=None [airflow.models.dag] loc=dag.py:693
api-server | /home/nix/smart-retail-analytics/.venv/lib/python3.12/site-packages/airflow/api_fastapi/core_api/routes/public/__init__.py:36 DeprecationWarning: 'HTTP_422_UNPROCESSABLE_ENTITY' is deprecated. Use 'HTTP_422_UNPROCESSABLE_CONTENT' instead.
dag-processor | 2026-02-18T13:27:42.969240Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:27:42.976378Z [info     ] Setting next_dagrun for example_setup_teardown to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:43.031005Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:27:43.049680Z [info     ] Setting next_dagrun for tutorial_taskflow_templates to 2026-02-18 00:00:00+00:00, run_after=2026-02-18 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:43.096775Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:27:43.111303Z [info     ] Setting next_dagrun for example_bash_operator to 2026-02-18 00:00:00+00:00, run_after=2026-02-18 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:43.155149Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:27:43.166527Z [info     ] Setting next_dagrun for latest_only to 2026-02-18 13:27:43.166247+00:00, run_after=2026-02-18 13:27:43.166247+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:43.213018Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:27:43.219812Z [info     ] Setting next_dagrun for example_short_circuit_decorator to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:43.277960Z [info     ] Sync 10 DAGs                   [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:27:43.294106Z [info     ] Setting next_dagrun for asset_consumes_1 to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:43.296040Z [info     ] Setting next_dagrun for asset_consumes_1_and_2 to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:43.297947Z [info     ] Setting next_dagrun for asset_consumes_1_never_scheduled to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:43.299374Z [info     ] Setting next_dagrun for asset_consumes_unknown_never_scheduled to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:43.303272Z [info     ] Setting next_dagrun for asset_produces_1 to 2026-02-18 00:00:00+00:00, run_after=2026-02-18 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:43.305755Z [info     ] Setting next_dagrun for asset_produces_2 to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:43.311463Z [info     ] Setting next_dagrun for conditional_asset_and_time_based_timetable to 2026-02-18 01:00:00+00:00, run_after=2026-02-18 01:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:43.314142Z [info     ] Setting next_dagrun for consume_1_and_2_with_asset_expressions to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:43.315579Z [info     ] Setting next_dagrun for consume_1_or_2_with_asset_expressions to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:43.316927Z [info     ] Setting next_dagrun for consume_1_or_both_2_and_3_with_asset_expressions to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:43.412214Z [info     ] Sync 2 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:27:43.419143Z [info     ] Setting next_dagrun for example_external_task_marker_child to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:43.421429Z [info     ] Setting next_dagrun for example_external_task_marker_parent to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:43.473636Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:27:43.493034Z [info     ] Setting next_dagrun for example_asset_with_watchers to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:43.680044Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:27:43.710530Z [info     ] Setting next_dagrun for example_task_group_decorator to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:43.873076Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:27:43.904102Z [info     ] Setting next_dagrun for example_python_decorator to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:44.197182Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:27:44.203162Z [info     ] Setting next_dagrun for tutorial_taskflow_api to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:44.308741Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:27:44.339802Z [info     ] Setting next_dagrun for example_branch_labels to 2026-02-18 00:00:00+00:00, run_after=2026-02-18 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:44.425892Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:27:44.447643Z [info     ] Setting next_dagrun for example_custom_weight to 2026-02-18 00:00:00+00:00, run_after=2026-02-18 00:00:00+00:00 [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:44.558466Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:27:44.566878Z [info     ] Setting next_dagrun for example_sensors to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:44.644724Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:27:44.651927Z [info     ] Setting next_dagrun for tutorial_objectstorage to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:44.697658Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
dag-processor | 2026-02-18T13:27:44.706404Z [info     ] Setting next_dagrun for example_short_circuit_operator to None, run_after=None [airflow.models.dag] loc=dag.py:693
dag-processor | 2026-02-18T13:27:44.747643Z [info     ] Sync 1 DAGs                    [airflow.serialization.serialized_objects] loc=serialized_objects.py:2949
